RK,NAME,TEAM,SALARY
Lester Hudson,SG,Utah Jazz,48232
Jared Cunningham,SG,Sacramento Kings,46404
Maalik Wayns,PG,Los Angeles Clippers,46404
Cedric Jackson,G,Cleveland Cavaliers,40375
Jeff Foote,C,New Orleans Pelicans,38194
Melvin Ely,C,New Orleans Pelicans,29788
James Nunnally,SF,Philadelphia 76ers,28834
Vander Blue,SG,Boston Celtics,28834
Chris Wright,PG,Dallas Mavericks,27859
Larry Owens,SF,Brooklyn Nets,22287
Mario West,SG,Brooklyn Nets,20103
Greg Smith,PF,Houston Rockets,15605
Josh Powell,PF,Houston Rockets,13958
Chris Wright,SF,Milwaukee Bucks,9281
Lamar Odom,PF,New York Knicks,8232
