RK,NAME,TEAM,SALARY
Jerome James,C,Chicago Bulls,6600000
,Amir Johnson,PF,Toronto Raptors,6500000
,Carl Landry,PF,Sacramento Kings,6500000
,Spencer Hawes,C,Philadelphia 76ers,6500000
,Brandon Bass,PF,Boston Celtics,6450000
,Channing Frye,PF,Phoenix Suns,6400000
,Wilson Chandler,SF,Denver Nuggets,6344164
,Jarrett Jack,PG,Cleveland Cavaliers,6300000
,Landry Fields,SF,Toronto Raptors,6250000
,Kyle Lowry,PG,Toronto Raptors,6210000
Jason Richardson,SG,Philadelphia 76ers,6204250
Derrick Favors,C,Utah Jazz,6008196
Gerald Henderson,SG,Charlotte Bobcats,6000000
Robin Lopez,C,Portland Trail Blazers,5904261
Chuck Hayes,PF,Toronto Raptors,5722500
Jason Thompson,PF,Sacramento Kings,5643750
Jason Terry,SG,Brooklyn Nets,5625313
Kyrie Irving,PG,Cleveland Cavaliers,5607240
J.R. Smith,SG,New York Knicks,5565000
Anthony Davis,PF,New Orleans Pelicans,5375760
Anthony Bennett,SF,Cleveland Cavaliers,5324280
Louis Williams,SG,Atlanta Hawks,5225000
Courtney Lee,SG,Memphis Grizzlies,5225000
Jamal Crawford,SG,Los Angeles Clippers,5225000
Antonio McDyess,PF,San Antonio Spurs,5220000
Speedy Claxton,PG,Atlanta Hawks,5209454
Zaza Pachulia,C,Milwaukee Bucks,5200000
Martell Webster,SF,Washington Wizards,5150000
J.J. Hickson,C,Denver Nuggets,5150000
Brad Miller,C,New Orleans Pelicans,5104000
Brandon Roy,SG,Minnesota Timberwolves,5100000
Keith Bogans,SG,Boston Celtics,5058198
Derrick Williams,PF,Sacramento Kings,5016960
Andre Miller,PG,Washington Wizards,5000000
Corey Brewer,SF,Minnesota Timberwolves,5000000
Richard Hamilton,SG,Chicago Bulls,5000000
DeMarcus Cousins,C,Sacramento Kings,4916974
Marcus Banks,PG,New Orleans Pelicans,4847586
Darius Songaila,PF,Philadelphia 76ers,4818000
Michael Kidd-Gilchrist,SF,Charlotte Bobcats,4809840
Victor Oladipo,SG,Orlando Magic,4763760
Boris Diaw,PF,San Antonio Spurs,4702500
J.J. Barea,PG,Minnesota Timberwolves,4687000
Linas Kleiza,SF,Fenerbahce Ulker Fenerbahce Ulker,4600000
Luc Richard Mbah a Moute,PF,Sacramento Kings,4588384
Luis Scola,PF,Indiana Pacers,4508504
Enes Kanter,C,Utah Jazz,4505280
Jonas Jerebko,PF,Detroit Pistons,4500000
Tony Allen,SG,Memphis Grizzlies,4494383
Ekpe Udoh,PF,Milwaukee Bucks,4469548
Luke Ridnour,PG,Charlotte Bobcats,4420000
Timofey Mozgov,C,Denver Nuggets,4400000
Udonis Haslem,PF,Miami Heat,4340000
Bradley Beal,SG,Washington Wizards,4319280
Otto Porter Jr.,SF,Washington Wizards,4278000
Earl Clark,SF,New York Knicks,4250000
Jared Dudley,SF,Los Angeles Clippers,4250000
Bruce Bowen,SF,San Antonio Spurs,4100000
Charlie Bell,SG,Other,4099920
Greg Monroe,PF,Detroit Pistons,4086454
Greg Buckner,SG,Memphis Grizzlies,4080915
Tristan Thompson,PF,Cleveland Cavaliers,4062000
Kirk Hinrich,SG,Chicago Bulls,4059000
Ian Mahinmi,C,Indiana Pacers,4000000
Brandon Rush,SG,Utah Jazz,4000000
Hakim Warrick,PF,Other,4000000
Elton Brand,PF,Atlanta Hawks,4000000
Matt Bonner,PF,San Antonio Spurs,3945000
Thabo Sefolosha,SG,Oklahoma City Thunder,3900000
Dion Waiters,SG,Cleveland Cavaliers,3894240
Cody Zeller,C,Charlotte Bobcats,3857040
Joel Anthony,C,Miami Heat,3800000
Danny Green,SG,San Antonio Spurs,3762500
Steve Novak,SF,Toronto Raptors,3750000
Al-Farouq Aminu,SF,New Orleans Pelicans,3749602
Samuel Dalembert,C,Dallas Mavericks,3700748
Ricky Rubio,PG,Minnesota Timberwolves,3678358
Raymond Felton,PG,New York Knicks,3637073
Jonas Valanciunas,C,Toronto Raptors,3526440
Thomas Robinson,PF,Portland Trail Blazers,3526440
Gerald Green,SG,Phoenix Suns,3500000
Chris Duhon,PG,Other,3500000
Matt Carroll,SG,New Orleans Pelicans,3500000
Alex Len,C,Phoenix Suns,3492720
Raja Bell,SG,Dallas Mavericks,3480000
Gordon Hayward,SG,Utah Jazz,3452183
Jan Vesely,PF,Washington Wizards,3340920
Paul George,SF,Indiana Pacers,3282003
Shane Battier,SF,Miami Heat,3270000
Gary Neal,SG,Charlotte Bobcats,3250000
Matt Barnes,SF,Los Angeles Clippers,3250000
Alonzo Gee,SF,Cleveland Cavaliers,3250000
Darrell Arthur,PF,Denver Nuggets,3231683
Mirza Teletovic,PF,Brooklyn Nets,3229050
Ray Allen,SG,Miami Heat,3229050
Damian Lillard,PG,Portland Trail Blazers,3202920
Tyler Hansbrough,PF,Toronto Raptors,3183000
Andrei Kirilenko,SF,Brooklyn Nets,3183000
Mike Dunleavy,SF,Chicago Bulls,3183000
Vince Carter,SG,Dallas Mavericks,3180000
Nerlens Noel,C,Philadelphia 76ers,3172320
Ed Davis,PF,Memphis Grizzlies,3153860
Alexey Shved,PG,Minnesota Timberwolves,3150000
Jerryd Bayless,PG,Memphis Grizzlies,3135000
