RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Tony Parker,SA,68,29.4,.555,24.9,9.7,25.9,1.0,7.5,4.4,19.00,238.5,7.9
Jannero Pargo,CHA,29,8.3,.554,25.9,12.9,27.9,0.5,8.9,4.7,19.00,28.9,1.0
Ryan Anderson,NO,22,36.1,.572,4.1,4.8,20.9,9.5,11.3,10.4,18.89,87.7,2.9
Amar'e Stoudemire,NY,65,22.6,.596,4.4,11.8,21.3,8.7,17.2,12.8,18.89,161.6,5.4
Andray Blatche,BKN,73,22.2,.532,11.3,11.1,23.4,8.9,19.9,14.4,18.85,199.2,6.6
Nikola Vucevic,ORL,57,31.8,.536,10.7,11.5,20.0,11.5,27.6,19.5,18.85,223.0,7.4
Patty Mills,SA,81,18.9,.588,16.3,6.9,21.2,2.6,9.6,6.2,18.80,177.7,5.9
Damian Lillard,POR,82,35.8,.568,21.3,9.0,24.7,1.3,9.2,5.3,18.69,337.1,11.2
Chris Andersen,MIA,72,19.4,.683,4.5,12.6,12.1,12.1,21.7,17.1,18.56,147.0,4.9
James Johnson,MEM,52,18.4,.552,21.2,12.6,19.7,7.4,13.2,10.3,18.50,99.9,3.3
Markieff Morris,PHX,81,26.6,.564,11.3,11.5,21.6,7.3,18.0,12.6,18.48,224.1,7.5
Drew Gooden,WSH,22,18.0,.591,8.0,9.1,18.1,10.7,23.0,16.7,18.44,40.9,1.4
Tyreke Evans,NO,72,28.2,.504,23.1,11.1,26.7,4.3,15.4,9.8,18.43,239.9,8.0
DeMar DeRozan,TOR,79,38.2,.532,14.4,8.1,26.6,2.0,11.3,6.6,18.42,356.8,11.9
Rudy Gay,SAC/TOR,73,34.7,.540,11.7,12.6,25.2,5.0,14.7,9.8,18.40,298.3,9.9
Zach Randolph,MEM,79,34.2,.510,11.6,10.6,24.6,11.6,23.3,17.4,18.37,277.4,9.2
Kris Humphries,BOS,69,19.9,.552,10.2,9.8,17.8,10.2,24.0,16.9,18.28,157.8,5.3
Marc Gasol,MEM,59,33.4,.526,18.8,9.7,21.2,5.0,20.5,12.7,18.27,225.4,7.5
